NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
75106001;LUXEMBOURG;48.844667;2.333833;46;20240328;0.6;1;6.6;1;512;9;13.4;1;1552;9;10.0;1;10.0;1;6.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240329;14.0;1;9.2;1;46;9;16.1;1;1304;9;11.5;1;12.7;1;6.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240330;1.5;1;7.3;1;340;9;11.7;1;1314;9;9.4;1;9.5;1;4.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240331;2.2;1;7.6;1;525;9;16.9;1;1227;9;11.6;1;12.3;1;9.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240401;0.2;1;9.0;1;654;9;15.9;1;1243;9;11.2;1;12.5;1;6.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240402;6.6;1;8.7;1;514;9;15.6;1;1218;9;11.7;1;12.2;1;6.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240403;5.4;1;10.4;1;148;9;18.1;1;1515;9;13.9;1;14.3;1;7.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240404;12.1;1;10.7;1;815;9;20.7;1;1429;9;15.3;1;15.7;1;10.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240405;0.6;1;13.9;1;326;9;18.6;1;1143;9;16.1;1;16.3;1;4.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240406;0.0;1;14.1;1;18;9;24.8;1;1207;9;19.0;1;19.5;1;10.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240407;5.0;1;15.4;1;613;9;19.0;1;1212;9;16.0;1;17.2;1;3.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240408;1.0;1;11.4;1;525;9;24.0;1;1624;9;16.4;1;17.7;1;12.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240409;2.0;1;9.1;1;533;9;14.4;1;1246;9;10.7;1;11.8;1;5.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240410;0.0;1;6.8;1;450;9;19.0;1;1520;9;12.9;1;12.9;1;12.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240411;0.0;1;12.3;1;506;9;20.4;1;1620;9;15.2;1;16.4;1;8.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240412;0.0;1;10.9;1;449;9;24.7;1;1536;9;17.8;1;17.8;1;13.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240413;0.0;1;13.1;1;525;9;27.6;1;1445;9;20.4;1;20.4;1;14.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240414;0.0;1;11.3;1;540;9;21.8;1;1445;9;16.0;1;16.6;1;10.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240415;3.4;1;8.6;1;558;9;15.4;1;1354;9;11.0;1;12.0;1;6.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240416;4.6;1;7.5;1;47;9;15.8;1;1440;9;10.0;1;11.7;1;8.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240417;3.2;1;6.5;1;426;9;13.5;1;1007;9;8.8;1;10.0;1;7.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240418;0.0;1;3.9;1;410;9;15.3;1;1506;9;9.4;1;9.6;1;11.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240419;3.8;1;8.8;1;2022;9;12.2;1;1158;9;9.9;1;10.5;1;3.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240420;0.0;1;4.9;1;414;9;12.3;1;1317;9;8.2;1;8.6;1;7.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240421;0.4;1;4.5;1;434;9;14.0;1;1328;9;8.5;1;9.3;1;9.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
